Net_Class,Net_Name_or_Group,Signal_Type,Target_Impedance,Impedance_Status,Intra_Pair_Skew,Inter_Pair_Matching,Maximum_Via_Count,Reference_Layer,Plane_Crossing_Rule,Minimum_Spacing,Length_Target,Propagation_Delay_Target,Current_Target,Width_Rule,Source,Assumption_Status,Review_Status,Notes
PCIE_DATA,PCIE_TX0,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_TX1,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_TX2,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_TX3,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_RX0,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_RX1,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_RX2,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_DATA,PCIE_RX3,PCIE_GEN3_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,PENDING_GOVERNING_SPEC_CONFIRMATION,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL_NO_ARTIFICIAL_SERPENTINE,PENDING_CHANNEL_BUDGET,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Geometry stays unset until governing spec and actual fab stack-up are reviewed
PCIE_CLOCK,PCIE_REFCLK,PCIE_REFERENCE_CLOCK_DIFFERENTIAL,PENDING_GOVERNING_SPEC_CONFIRMATION,Pending_Human_Verification,PENDING_GOVERNING_SPEC_CONFIRMATION,NOT_APPLICABLE,0_PREFERRED_2_SIGNAL_VIAS_MAX_PER_NET,L1_OVER_L2_PREFERRED_L6_OVER_L5_EXCEPTION,PROHIBITED,PENDING_STACKUP_AND_CROSSTALK_REVIEW,SHORTEST_PRACTICAL,PENDING_CLOCK_ARCHITECTURE_REVIEW,NOT_APPLICABLE,PENDING_FABRICATOR_CALCULATION,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC;JLCPCB_STACKUP,Pending_Human_Verification,Planned,Do not copy data-lane constraints without confirming REFCLK requirements
PCIE_SIDEBAND,PCIE_PERST_N;PCIE_CLKREQ_N;PCIE_PEWAKE_N;PCIE_PRSNT_N,SINGLE_ENDED_CONTROL,NOT_CONTROLLED_IMPEDANCE,Engineering_Assumption,NOT_APPLICABLE,NOT_APPLICABLE,2,L3_OVER_L2_PREFERRED,DO_NOT_CROSS_REFERENCE_SPLIT,PENDING_VOLTAGE_AND_CROSSTALK_REVIEW,FUNCTIONAL_ONLY,NOT_APPLICABLE,LOW_CURRENT,PENDING_FABRICATOR_MINIMUM_AND_REVIEW,PCI_SIG_CEM_3_0;M2_CONTROLLED_SPEC,Pending_Human_Verification,Planned,Voltage domain and pull-up ownership require spec review
